rank,cluster_name,street_1,street_2,street_3,street_4,unique_outage_days
TARGET,Spes Bona Avenue | Glaudina Drive | Jacqueline Street | Proot Street,Spes Bona Avenue,Glaudina Drive,Jacqueline Street,Proot Street,28
1,Agulhas | Carob Crescent | Mahogany Crescent | Uys Krige Drive,Agulhas,Carob Crescent,Mahogany Crescent,Uys Krige Drive,22
2,Agulhas | Carob Crescent | Glaudina Drive | Uys Krige Drive,Agulhas,Carob Crescent,Glaudina Drive,Uys Krige Drive,21
3,Antoinette Street | Claire Street | Fairfield Street North | Hannes Louw Drive,Antoinette Street,Claire Street,Fairfield Street North,Hannes Louw Drive,21
4,Colette Close | Fleur Drive | Hannes Louw Drive | Rene Street,Colette Close,Fleur Drive,Hannes Louw Drive,Rene Street,21
5,Claire Street | Colette Close | Hannes Louw Drive | Madeleine Street,Claire Street,Colette Close,Hannes Louw Drive,Madeleine Street,20
6,Antoinette Street | Bridgitte Road | Hannes Louw Drive | Rene Street,Antoinette Street,Bridgitte Road,Hannes Louw Drive,Rene Street,18
7,Colette Close | Jacqueline Street | Madeleine Street | Yvette Street,Colette Close,Jacqueline Street,Madeleine Street,Yvette Street,17
8,Glaudina Drive | Orange Street | Proot Street | Spes Bona Avenue,Glaudina Drive,Orange Street,Proot Street,Spes Bona Avenue,17
9,Antoinette Street | Claire Street | Hannes Louw Drive | Rene Street,Antoinette Street,Claire Street,Hannes Louw Drive,Rene Street,16
10,Colette Close | Fleur Drive | Michelle Street | Yvette Street,Colette Close,Fleur Drive,Michelle Street,Yvette Street,16
11,Glaudina Drive | Proot Street | Spes Bona Avenue | Uys Krige Drive,Glaudina Drive,Proot Street,Spes Bona Avenue,Uys Krige Drive,16
12,Charmaine Close | Fairfield Street North | Minette Close | Nicole Street,Charmaine Close,Fairfield Street North,Minette Close,Nicole Street,15
13,Colette Close | Fleur Drive | Michelle Street | Rene Street,Colette Close,Fleur Drive,Michelle Street,Rene Street,15
14,Charmaine Close | Fairfield Street North | Nicole Street | Odette Street,Charmaine Close,Fairfield Street North,Nicole Street,Odette Street,14
15,Antoinette Street | Fairfield Street North | Nicole Street | Odette Street,Antoinette Street,Fairfield Street North,Nicole Street,Odette Street,13
16,Claire Street | Colette Close | Madeleine Street | Yvette Street,Claire Street,Colette Close,Madeleine Street,Yvette Street,13
17,Nassau Street | Orange Street | Proot Street | Tierberg Road,Nassau Street,Orange Street,Proot Street,Tierberg Road,13
18,Gordon Road | Powell Street | Reid Street West | Seddon Street,Gordon Road,Powell Street,Reid Street West,Seddon Street,12
19,Leerdam Street | Mauritius Street | Nassau Street | Orange Street,Leerdam Street,Mauritius Street,Nassau Street,Orange Street,12
20,Amsterdam Street | Buren Street | Toner Street South | Wessel Street South,Amsterdam Street,Buren Street,Toner Street South,Wessel Street South,11
21,Chantelle Street | Dauphine Street | Minette Close | Simone Street,Chantelle Street,Dauphine Street,Minette Close,Simone Street,11
